Time,Recording
'0,001979166666667','-0,001941063906997'
'0,002','-0,001400208566338'
'0,002020833333333','-0,001762673375197'
'0,002041666666667','-0,002218243665993'
'0,0020625','-0,002424382138997'
'0,002083333333333','-0,00206258520484'
'0,002104166666667','-0,002683200174943'
'0,002125','-0,003385103074834'
'0,002145833333333','-0,00311351264827'
'0,002166666666667','-0,003140081418678'
'0,0021875','-0,004323043394834'
'0,002208333333333','-0,00476545933634'
'0,002229166666667','-0,004937266930938'
'0,00225','-0,006106988992542'
'0,002270833333333','-0,007124088238925'
'0,002291666666667','-0,007118228822947'
'0,0023125','-0,007940779440105'
'0,002333333333333','-0,00906272418797'
'0,002354166666667','-0,00952988024801'
'0,002375','-0,009812545031309'
'0,002395833333333','-0,010367318987846'
'0,002416666666667','-0,011417075991631'
'0,0024375','-0,011070512235165'
'0,002458333333333','-0,01159125007689'
'0,002479166666667','-0,012248079292476'
'0,0025','-0,012466069310904'
'0,002520833333333','-0,011908258311451'
'0,002541666666667','-0,012028630822897'
'0,0025625','-0,01234532520175'
'0,002583333333333','-0,0113705387339'
'0,002604166666667','-0,010556224733591'
'0,002625','-0,010722425766289'
'0,002645833333333','-0,009507295675576'
'0,002666666666667','-0,008479105308652'
'0,0026875','-0,007927599363029'
'0,002708333333333','-0,007200208026916'
'0,002729166666667','-0,006215448491275'
'0,00275','-0,004997351206839'
'0,002770833333333','-0,004363500513136'
'0,002791666666667','-0,003722158493474'
'0,0028125','-0,002848694566637'
'0,002833333333333','-0,002027636393905'
'0,002854166666667','-0,002145110629499'
'0,002875','-0,00095857004635'
'0,002895833333333','-0,000269413023489'
'0,002916666666667','-0,000752698921133'
'0,0029375','-0,000670708250254'
'0,002958333333333','0,000245770439506'
'0,002979166666667','-6,72163441777229E-05'
'0,003','-0,000169499311596'
'0,003020833333333','0,000403846090194'
'0,003041666666667','0,000929003581405'
'0,0030625','0,000550168042537'
'0,003083333333333','0,000831958197523'
'0,003104166666667','0,001906125340611'
'0,003125','0,00214485428296'
'0,003145833333333','0,002379437442869'
'0,003166666666667','0,00340793048963'
'0,0031875','0,004278329201043'
'0,003208333333333','0,004637424834073'
'0,003229166666667','0,00572765711695'
'0,00325','0,007089065387845'
'0,003270833333333','0,008259119465947'
'0,003291666666667','0,008643755689263'
'0,0033125','0,009973954409361'
'0,003333333333333','0,010993510484696'
'0,003354166666667','0,011561911553145'
'0,003375','0,011823186650872'
'0,003395833333333','0,012828268110752'
'0,003416666666667','0,013230207376182'
'0,0034375','0,012797721661627'
'0,003458333333333','0,013173801824451'
'0,003479166666667','0,013699349947274'
'0,0035','0,012850281782448'
'0,003520833333333','0,012226139195263'
'0,003541666666667','0,012414258904755'
'0,0035625','0,01141818985343'
'0,003583333333333','0,010463860817254'
'0,003604166666667','0,010137128643692'
'0,003625','0,009449731558561'
'0,003645833333333','0,008425836451352'
'0,003666666666667','0,007658495567739'
'0,0036875','0,007673948537558'
'0,003708333333333','0,007257582154125'
'0,003729166666667','0,006116522941738'
'0,00375','0,006287869997323'
'0,003770833333333','0,006153061054647'
'0,003791666666667','0,005378514528275'
'0,0038125','0,004960883874446'
'0,003833333333333','0,00551369972527'
'0,003854166666667','0,00507581513375'
'0,003875','0,004414212889969'
'0,003895833333333','0,00437034573406'
'0,003916666666667','0,004818129818887'
'0,0039375','0,003841336350888'
'0,003958333333333','0,00357354991138'
'0,003979166666667','0,003671544138342'
'0,004','0,00307277077809'
'0,004020833333333','0,002321574138477'
'0,004041666666667','0,001681934460066'
'0,0040625','0,001192592899315'
'0,004083333333333','-7,09673258825205E-05'
'0,004104166666667','-0,000872191041708'
'0,004125','-0,001587679609656'
